Manufacturer,Model Name,Category,Screen Size,Screen,CPU,RAM,Storage,GPU,Operating System,Weight,Price,Price_USD,Weight_LBS
HP,250 G6,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4,500GB ,Intel HD Graphics 620,No OS,1.86,3502558.8,42743.68740336306,4.10059878
HP,250 G6,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,500GB ,Intel HD Graphics 520,No OS,1.86,3067651.08,37436.26483190207,4.10059878
Apple,MacBook Pro,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.8GHz,16,256GB ,AMD Radeon Pro 555,Mac OS,1.83,21696213.24,264771.0458329113,4.0344600900000005
Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,256GB ,AMD Radeon R5 M430,Windows,2.2,4436218.8,54137.66348194423,4.850170600000001
Apple,"MacBook 12""",Ultrabook,12.0,IPS Panel Retina Display 2304x1440,Intel Core M m3 1.2GHz,8,256GB ,Intel HD Graphics 615,Mac OS,0.92,11225260.8,136988.146681913,2.02825316
Apple,MacBook Pro,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.3GHz,8,256GB ,Intel Iris Plus Graphics 640,Mac OS,1.37,13502946.6,164784.02261075648,3.0203335100000004
Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB ,AMD Radeon R5 M430,Windows,2.2,6624540.0,80842.97312898065,4.850170600000001
Apple,MacBook Pro,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,Intel Core i7 2.9GHz,16,512GB ,AMD Radeon Pro 560,Mac OS,1.83,25413336.0,310133.1774531902,4.0344600900000005
Lenovo,IdeaPad 320-15IKB,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,8,1TB ,Nvidia GeForce 940MX,No OS,2.2,4437108.0,54148.51488773335,4.850170600000001
Dell,XPS 13,Ultrabook,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,128GB ,Intel UHD Graphics 620,Windows,1.22,8705268.0,106235.26267553295,2.6896400600000003
Asus,Vivobook E200HA,Netbook,11.6,1366x768,Intel Atom x5-Z8350 1.44GHz,2,32GB  ,Intel HD Graphics 400,Windows,0.98,1706374.8,20823.847709330723,2.1605305400000003
Lenovo,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,128GB    1TB ,Nvidia GeForce GTX 1050,Windows,2.5,8883108.0,108405.54383335797,5.5115575
HP,255 G6,Notebook,15.6,1366x768,AMD E-Series E2-9000e 1.5GHz,4,500GB ,AMD Radeon R2,No OS,1.86,2294136.0,27996.62693594229,4.10059878
Dell,Inspiron 5379,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB ,Intel UHD Graphics 620,Windows,1.62,7282548.0,88873.0134129331,3.5714892600000008
HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB ,Intel HD Graphics 620,Windows,1.91,5859828.0,71510.76415033323,4.21082993
Dell,Inspiron 3567,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4,1TB ,Intel HD Graphics 520,Windows,2.3,3722546.88,45428.325195592566,5.0706329000000006
Apple,MacBook Air,Ultrabook,13.3,1440x900,Intel Core i5 1.6GHz,8,128GB  ,Intel HD Graphics 6000,Mac OS,1.35,9772308.0,119256.94962248288,2.9762410500000005
Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB ,AMD Radeon 530,Windows,2.2,7113600.0,86811.24631299936,4.850170600000001
Dell,Latitude 5590,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8650U 1.9GHz,8,256GB    256GB ,Intel UHD Graphics 620,Windows,1.88,11541816.0,140851.24714284146,4.14469124
HP,ProBook 470,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,1TB ,Nvidia GeForce 930MX,Windows,2.5,7967232.0,97228.59587055928,5.5115575
Chuwi,"LapBook 15.6""",Notebook,15.6,Full HD 1920x1080,Intel Atom x5-Z8300 1.44GHz,4,64GB  ,Intel HD Graphics,Windows,1.89,2178451.08,26584.85904277714,4.16673747
Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),Notebook,14.0,1366x768,AMD E-Series E2-6110 1.5GHz,2,32GB  ,AMD Radeon R2,Windows,1.65,1769508.0,21594.297520358592,3.63762795
HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,Notebook,17.3,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4,500GB ,AMD Radeon 530,Windows,2.71,3903588.0,47637.6714142584,5.974528330000001
Dell,XPS 13,Ultrabook,13.3,Touchscreen / Quad HD+ 3200x1800,Intel Core i7 8550U 1.8GHz,16,512GB ,Intel UHD Graphics 620,Windows,1.2,16619148.0,202812.7741987448,2.6455476
Apple,MacBook Air,Ultrabook,13.3,1440x900,Intel Core i5 1.6GHz,8,256GB  ,Intel HD Graphics 6000,Mac OS,1.35,8874216.0,108297.0297754667,2.9762410500000005
Lenovo,IdeaPad 120S-14IAP,Notebook,14.0,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4,64GB  ,Intel HD Graphics 500,Windows,1.44,2214108.0,27020.00041492105,3.17465712
Acer,Aspire 3,Notebook,15.6,1366x768,Intel Core i3 7130U 2.7GHz,4,1TB ,Intel HD Graphics 620,Linux,2.1,3263364.0,39824.65924608846,4.629708300000001
Dell,Inspiron 5770,Notebook,17.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,128GB    1TB ,AMD Radeon 530,Windows,2.8,8705268.0,106235.26267553295,6.1729444
HP,250 G6,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4,1TB ,Intel HD Graphics 620,Windows,1.86,4345431.48,53029.734950874576,4.10059878
HP,ProBook 450,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB ,Nvidia GeForce 930MX ,Windows,2.1,7816068.0,95383.85688640804,4.629708300000001
Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,1TB ,Intel HD Graphics 620,Linux,2.0,3458988.0,42211.96851969594,4.409246
Dell,Inspiron 7577,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256GB    1TB ,Nvidia GeForce GTX 1060,Windows,2.65,13329108.0,162662.57277898255,5.84225095
Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8,1TB ,Nvidia GeForce 940MX,Linux,2.3,4650427.08,56751.76713654442,5.0706329000000006
Acer,Aspire A515-51G,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,4,256GB ,Intel UHD Graphics 620,Windows,2.2,6064344.0,74006.58748183196,4.850170600000001
Dell,Inspiron 7773,2 in 1 Convertible,17.3,Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,12,1TB ,Nvidia GeForce 150MX,Windows,2.77,8883108.0,108405.54383335797,6.106805710000001
Apple,MacBook Pro,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,Intel Core i5 2.0GHz,8,256GB ,Intel Iris Graphics 540,Mac OS,1.37,12617748.0,153981.44814768262,3.0203335100000004
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4,128GB ,Intel HD Graphics 520,No OS,2.2,3281148.0,40041.68736187096,4.850170600000001
Asus,Rog Strix,Gaming,17.3,Full HD 1920x1080,AMD Ryzen 1700 3GHz,8,256GB    1TB ,AMD Radeon RX 580,Windows,3.2,11550708.0,140959.76120073273,7.054793600000001
Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4,256GB ,AMD Radeon R5 M430,Windows,2.3,5681988.0,69340.48299250824,5.0706329000000006
Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,Notebook,17.3,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4,1TB ,Nvidia GeForce 920MX,Windows,2.8,4143672.0,50567.55097732213,6.1729444
Lenovo,Yoga Book,2 in 1 Convertible,10.1,IPS Panel Touchscreen 1920x1200,Intel Atom x5-Z8550 1.44GHz,4,64GB  ,Intel HD Graphics 400,Android,0.69,2836548.0,34615.984467308495,1.52118987
Acer,Aspire A515-51G,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB ,Nvidia GeForce MX150,Windows,2.2,7478172.0,91260.32268654056,4.850170600000001
HP,255 G6,Notebook,15.6,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4,256GB ,AMD Radeon R4 Graphics,Windows,1.86,3543373.08,43241.7669290839,4.10059878
HP,ProBook 430,Notebook,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,512GB ,Intel UHD Graphics 620,Windows,1.49,9807876.0,119691.00585404786,3.28488827
Acer,Aspire 3,Notebook,15.6,1366x768,Intel Core i3 7100U 2.4GHz,4,1TB ,Intel HD Graphics 620,Windows,2.4,3414528.0,41669.39823023969,5.2910952
Dell,Inspiron 3576,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB ,AMD Radeon 520,Windows,2.13,6827277.6,83317.09364890114,4.695846990000001
HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,128GB ,Intel HD Graphics 520,Windows,1.91,3903588.0,47637.6714142584,4.21082993
Asus,VivoBook Max,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,4,256GB ,Intel HD Graphics 620,Windows,2.0,5212401.48,63609.85559527137,4.409246
MSI,GS73VR 7RG,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256GB    2TB ,Nvidia GeForce GTX 1070,Windows,2.43,21776508.0,265750.9277756693,5.357233890000001
Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,256GB ,Intel HD Graphics 520,Linux,2.0,3690180.0,45033.33402486842,4.409246
Dell,Inspiron 5770,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,256GB    2TB ,AMD Radeon 530,Windows,2.8,11550708.0,140959.76120073273,6.1729444
Dell,Vostro 5471,Ultrabook,14.0,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB ,Intel UHD Graphics 620,Windows,1.7,7816068.0,95383.85688640804,3.7478591
Lenovo,IdeaPad 520S-14IKB,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,8,256GB ,Intel HD Graphics 620,No OS,1.7,5326308.0,64999.92067685827,3.7478591
Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),Notebook,14.0,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB ,Intel UHD Graphics 620,Windows,1.4,8367372.0,102111.7284756655,3.0864722
HP,250 G6,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB ,Intel HD Graphics 620,Windows,1.86,6135480.0,74874.69994496195,4.10059878
Asus,ZenBook Pro,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,512GB ,Nvidia GeForce GTX 1050 Ti,Windows,1.8,17632836.0,215183.3767983472,3.9683214000000007
HP,250 G6,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4,500GB ,AMD Radeon 520,Windows,1.86,3900831.48,47604.03205631211,4.10059878
HP,Stream 14-AX040wm,Notebook,14.0,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4,32GB ,Intel HD Graphics 400,Windows,1.44,2036268.0,24849.71925709607,3.17465712
Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,4,1TB ,Intel HD Graphics 620,Windows,1.9,4881708.0,59574.21778229581,4.1887837
Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,12,1TB ,Nvidia GeForce GTX 1050 Ti,Linux,3.0,8438508.0,102979.84093879547,6.613869000000001
Microsoft,Surface Laptop,Ultrabook,13.5,Touchscreen 2256x1504,Intel Core i5 7200U 2.5GHz,4,128GB ,Intel HD Graphics 620,Windows,1.252,9683388.0,118171.80904357038,2.7601879960000004
Dell,Inspiron 5370,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB ,AMD Radeon 530,Windows,1.4,8491860.0,103630.92528614298,3.0864722
Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB ,AMD Radeon 530,Windows,2.2,7736040.0,94407.2303653868,4.850170600000001
MSI,GL72M 7RDX,Gaming,17.3,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,128GB    1TB ,Nvidia GeForce GTX 1050,Windows,2.7,9736740.0,118822.89339091787,5.952482100000001
Acer,Aspire E5-475,Notebook,14.0,1366x768,Intel Core i3 6006U 2GHz,8,1TB ,Intel HD Graphics 520,Windows,2.1,3458988.0,42211.96851969594,4.629708300000001
Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8,1TB ,Nvidia GeForce GTX 1050,Windows,2.2,8438508.0,102979.84093879547,4.850170600000001
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,2TB ,Intel HD Graphics 620,No OS,2.2,4614948.0,56318.79604555834,4.850170600000001
Dell,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,128GB    1TB ,Intel UHD Graphics 620,Windows,2.02,7602660.0,92779.51949701806,4.45333846
Acer,Aspire A515-51G-32MX,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7130U 2.7GHz,4,1TB ,Nvidia GeForce MX130,Windows,2.2,4712760.0,57512.45068236208,4.850170600000001
HP,ProBook 470,Notebook,17.3,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,128GB    1TB ,Nvidia GeForce 930MX,Windows,2.5,8687484.0,106018.23455975048,5.5115575
Dell,Latitude 5590,Ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB ,Intel UHD Graphics 620,Windows,1.88,9747054.72,118948.76969807172,4.14469124
Apple,"MacBook 12""",Ultrabook,12.0,IPS Panel Retina Display 2304x1440,Intel Core i5 1.3GHz,8,512GB ,Intel HD Graphics 615,Mac OS,0.92,13426920.0,163856.2274157863,2.02825316
HP,ProBook 440,Notebook,14.0,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB ,Intel HD Graphics 620,Windows,1.63,7647120.0,93322.08978647432,3.5935354900000003
Lenovo,IdeaPad 320-15AST,Notebook,15.6,Full HD 1920x1080,AMD A6-Series 9220 2.5GHz,4,128GB ,AMD R4 Graphics,Windows,2.2,3547908.0,43297.10909860843,4.850170600000001
Acer,Aspire 3,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4,1TB ,AMD Radeon R5,Windows,2.1,3512340.0,42863.05286704344,4.629708300000001
Dell,Inspiron 7577,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,128GB    1TB ,Nvidia GeForce GTX 1050 Ti,Windows,2.65,11995308.0,146385.46409529517,5.84225095
HP,Pavilion 15-CK000nv,Ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB ,Nvidia GeForce GTX 940MX,Windows,1.83,6215508.0,75851.32646598319,4.0344600900000005
HP,250 G6,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB ,Intel HD Graphics 620,Windows,1.96,5326219.08,64998.83553627936,4.321061080000001
Asus,FX503VM-E4007T (i7-7700HQ/16GB/1TB,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,128GB    1TB ,Nvidia GeForce GTX 1060,Windows,2.2,12884508.0,157236.8698844201,4.850170600000001
Dell,XPS 13,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB ,Intel UHD Graphics 620,Windows,1.21,14662908.0,178939.68146266992,2.6675938300000004
Asus,FX550IK-DM018T (FX-9830P/8GB/1TB/Radeon,Gaming,15.6,Full HD 1920x1080,AMD FX 9830P 3GHz,8,1TB ,AMD Radeon RX 560,Windows,2.45,6215508.0,75851.32646598319,5.401326350000001
Acer,Aspire 5,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,1TB ,Nvidia GeForce MX150,Windows,2.2,6126588.0,74766.1858870707,4.850170600000001
HP,Probook 430,Notebook,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,512GB ,Intel UHD Graphics 620,Windows,1.49,10643724.0,129891.3272958253,3.28488827
Dell,Inspiron 7577,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8,256GB ,Nvidia GeForce GTX 1060,Windows,2.65,10625940.0,129674.2991800428,5.84225095
Asus,Zenbook UX430UA,Ultrabook,14.0,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB ,Intel HD Graphics 620,Windows,1.25,9327708.0,113831.2467279204,2.75577875
Acer,Spin 5,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB ,Intel UHD Graphics 620,Windows,1.5,7531524.0,91911.40703388808,3.306934500000001
Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,1TB ,AMD Radeon R5 M430,Linux,2.2,5334310.8,65097.58332896039,4.850170600000001
Dell,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,256GB ,AMD Radeon R5 M430,Linux,2.2,4312620.0,52629.31807725586,4.850170600000001
Asus,X541UV-DM1439T (i3-7100U/6GB/256GB/GeForce,Notebook,15.6,Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,6,256GB ,Nvidia GeForce 920M,Windows,2.0,5130684.0,62612.61140325079,4.409246
HP,Omen 15-ce007nv,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,12,128GB    1TB ,Nvidia GeForce GTX 1050,Windows,2.62,11106108.0,135534.05830617025,5.7761122600000006
HP,15-bs017nv (i7-7500U/8GB/256GB/Radeon,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB ,AMD Radeon 530,Windows,1.91,6393348.0,78021.60762380817,4.21082993
HP,15-bw000nv (E2-9000e/4GB/500GB/Radeon,Notebook,15.6,Full HD 1920x1080,AMD E-Series E2-9000e 1.5GHz,4,500GB ,AMD Radeon R2,Windows,2.1,3103308.0,37871.40620404597,4.629708300000001
Dell,Inspiron 3576,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,1TB ,AMD Radeon 520,Linux,2.2,5753124.0,70208.59545563823,4.850170600000001
HP,Envy 13-ad009n,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB ,Nvidia GeForce MX150,Windows,1.38,9950148.0,121427.23078030786,3.04237974
Microsoft,Surface Laptop,Ultrabook,13.5,Touchscreen 2256x1504,Intel Core i5 7200U 2.5GHz,8,256GB ,Intel HD Graphics 620,Windows,1.252,11915280.0,145408.83757427393,2.7601879960000004
HP,Pavilion 14-BK001nv,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,6,256GB ,Nvidia GeForce 940MX,Windows,1.58,5859828.0,71510.76415033323,3.483304340000001
Lenovo,Ideapad 310-15ISK,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,1TB ,Intel HD Graphics 520,Windows,1.85,3689290.8,45022.48261907929,4.07855255
Asus,UX430UQ-GV209R (i7-7500U/8GB/256GB/GeForce,Ultrabook,14.0,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB ,Nvidia GeForce 940MX,Windows,1.3,10608156.0,129457.27106426028,2.8660099000000003
MSI,GP62M 7REX,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256GB    1TB ,Nvidia GeForce GTX 1050 Ti,Windows,2.2,11550708.0,140959.76120073273,4.850170600000001
Lenovo,Thinkpad T470,Notebook,14.0,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8,256GB ,Intel HD Graphics 620,Windows,1.58,13160160.0,160600.80567904882,3.483304340000001
Asus,VivoBook S15,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,256GB    1TB ,Nvidia GeForce MX150,Windows,1.5,11221704.0,136944.74105875648,3.306934500000001
Dell,XPS 13,Ultrabook,13.3,Quad HD+ / Touchscreen 3200x1800,Intel Core i7 7560U 2.4GHz,8,256GB ,Intel Iris Plus Graphics 640,Windows,1.23,12262068.0,149640.88583203265,2.7116862900000003
Lenovo,ThinkPad Yoga,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB ,Intel HD Graphics 620,Windows,1.37,12439908.0,151811.16698985762,3.0203335100000004
HP,Probook 440,Notebook,14.0,IPS Panel 1366x768,Intel Core i5 8250U 1.6GHz,4,500GB ,Intel UHD Graphics 620,Windows,1.63,6420024.0,78347.14979748192,3.5935354900000003
Dell,XPS 13,Ultrabook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB ,Intel UHD Graphics 620,Windows,1.21,14485068.0,176769.40030484495,2.6675938300000004
HP,Spectre x360,2 in 1 Convertible,13.3,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i5 8250U 1.6GHz,8,256GB ,Intel UHD Graphics 620,Windows,1.26,12439819.08,151810.0818492787,2.77782498
HP,Probook 440,Notebook,14.0,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,512GB ,Intel UHD Graphics 620,Windows,1.63,9638928.0,117629.23875411414,3.5935354900000003
Dell,Inspiron 7570,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB    1TB ,Nvidia GeForce 940MX,Windows,2.16,10050894.36,122656.6950562157,4.76198568
Asus,X705UV-BX074T (i3-6006U/4GB/1TB/GeForce,Notebook,17.3,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4,1TB ,Nvidia GeForce 920MX,Windows,2.0,5015088.0,61201.92865066455,4.409246
Asus,VivoBook S15,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8,256GB ,Nvidia GeForce 940MX,Windows,1.7,9941256.0,121318.7167224166,3.7478591
Acer,Spin 3,Notebook,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i3 7100U 2.4GHz,6,1TB ,Intel HD Graphics 620,Windows,2.1,4259268.0,51978.23372990837,4.629708300000001
MSI,GS63VR 7RG,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16,256GB    2TB ,Nvidia GeForce GTX 1070,Windows,1.8,19931418.0,243234.2607632351,3.9683214000000007
Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8,256GB ,Nvidia GeForce 940MX,No OS,2.2,5593068.0,68255.34241359575,4.850170600000001
HP,Probook 470,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,512GB ,Nvidia GeForce 930MX ,Windows,2.5,11301732.0,137921.36757977773,5.5115575
Acer,Aspire 3,Notebook,15.6,1366x768,AMD A9-Series 9420 3GHz,4,256GB ,AMD Radeon R5,Windows,2.1,4010292.0,48939.84010895339,4.629708300000001
HP,250 G6,Notebook,15.6,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4,500GB ,Intel HD Graphics 400,No OS,1.86,2303028.0,28105.140993833546,4.10059878
HP,Probook 440,Notebook,14.0,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8,1TB ,Intel UHD Graphics 620,Windows,1.63,7220304.0,88113.41500769435,3.5935354900000003
Asus,E402WA-GA007T (E2-6110/4GB/64GB/W10,Notebook,14.0,1366x768,AMD E-Series 6110 1.5GHz,4,64GB ,AMD Radeon R2,Windows,1.65,2471887.08,30165.822953188366,3.63762795
Dell,Inspiron 5770,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,16,256GB    2TB ,AMD Radeon 530,Windows,2.8,12413232.0,151485.62481618387,6.1729444
