,Manufacturer,Model Name,Model Name Cleaned,Category,Screen Size,Screen,Touchscreen,Screen_HD,Screen Quality,CPU,CPU Brand,CPU Model,CPU_Speed,RAM,Storage,Total Storage in TB,GPU,GPU Brand,GPU Model,Operating System,Weight,Weight_LBS,Price,Price_USD
12,Apple,MacBook Pro,MacBook Pro,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,0,0,2880x1800,Intel Core i7 2.8GHz,Intel,Core i7,2.8,16,256GB SSD,0.25,AMD Radeon Pro 555,AMD,Radeon Pro 555,Mac OS,1.83,4.03446009,21696213.24,264771.0458
13,Dell,Inspiron 3567,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,0,1,1920x1080,Intel Core i3 6006U 2GHz,Intel,Core i3 6006U,2,4,256GB SSD,0.25,AMD Radeon R5 M430,AMD,Radeon R5 M430,Windows,2.2,4.8501706,4436218.8,54137.66348
14,Apple,"MacBook 12""","MacBook 12""",Ultrabook,12,IPS Panel Retina Display 2304x1440,0,0,2304x1440,Intel Core M m3 1.2GHz,Intel,Core M m3,1.2,8,256GB SSD,0.25,Intel HD Graphics 615,Intel,HD Graphics 615,Mac OS,0.92,2.02825316,11225260.8,136988.1467
15,Apple,MacBook Pro,MacBook Pro,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,0,0,2560x1600,Intel Core i5 2.3GHz,Intel,Core i5,2.3,8,256GB SSD,0.25,Intel Iris Plus Graphics 640,Intel,Iris Plus Graphics 640,Mac OS,1.37,3.02033351,13502946.6,164784.0226
16,Dell,Inspiron 3567,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,0,1,1920x1080,Intel Core i7 7500U 2.7GHz,Intel,Core i7 7500U,2.7,8,256GB SSD,0.25,AMD Radeon R5 M430,AMD,Radeon R5 M430,Windows,2.2,4.8501706,6624540,80842.97313
17,Apple,MacBook Pro,MacBook Pro,Ultrabook,15.4,IPS Panel Retina Display 2880x1800,0,0,2880x1800,Intel Core i7 2.9GHz,Intel,Core i7,2.9,16,512GB SSD,0.5,AMD Radeon Pro 560,AMD,Radeon Pro 560,Mac OS,1.83,4.03446009,25413336,310133.1775
18,Lenovo,IdeaPad 320-15IKB,IdeaPad 320-15IKB,Notebook,15.6,Full HD 1920x1080,0,1,1920x1080,Intel Core i3 7100U 2.4GHz,Intel,Core i3 7100U,2.4,8,1TB HDD,1,Nvidia GeForce 940MX,Nvidia,GeForce 940MX,No OS,2.2,4.8501706,4437108,54148.51489
19,Dell,XPS 13,XPS 13,Ultrabook,13.3,IPS Panel Full HD / Touchscreen 1920x1080,1,1,1920x1080,Intel Core i5 8250U 1.6GHz,Intel,Core i5 8250U,1.6,8,128GB SSD,0.125,Intel UHD Graphics 620,Intel,UHD Graphics 620,Windows,1.22,2.68964006,8705268,106235.2627
20,Asus,Vivobook E200HA,Vivobook E200HA,Netbook,11.6,1366x768,0,0,1366x768,Intel Atom x5-Z8350 1.44GHz,Intel,Atom x5-Z8350,1.44,2,32GB Flash Storage,0.03125,Intel HD Graphics 400,Intel,HD Graphics 400,Windows,0.98,2.16053054,1706374.8,20823.84771
21,Lenovo,Legion Y520-15IKBN,Legion Y520-15IKBN,Gaming,15.6,IPS Panel Full HD 1920x1080,0,1,1920x1080,Intel Core i5 7300HQ 2.5GHz,Intel,Core i5 7300HQ,2.5,8,128GB SSD +  1TB HDD,1.125,Nvidia GeForce GTX 1050,Nvidia,GeForce GTX 1050,Windows,2.5,5.5115575,8883108,108405.5438
22,HP,255 G6,255 G6,Notebook,15.6,1366x768,0,0,1366x768,AMD E-Series E2-9000e 1.5GHz,AMD,E-Series E2-9000e,1.5,4,500GB HDD,0.48828125,AMD Radeon R2,AMD,Radeon R2,No OS,1.86,4.10059878,2294136,27996.62694
23,Dell,Inspiron 5379,Inspiron 5379,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,1,1,1920x1080,Intel Core i5 8250U 1.6GHz,Intel,Core i5 8250U,1.6,8,256GB SSD,0.25,Intel UHD Graphics 620,Intel,UHD Graphics 620,Windows,1.62,3.57148926,7282548,88873.01341
24,HP,15-BS101nv (i7-8550U/8GB/256GB/FHD/W10),15-BS101nv ,Ultrabook,15.6,Full HD 1920x1080,0,1,1920x1080,Intel Core i7 8550U 1.8GHz,Intel,Core i7 8550U,1.8,8,256GB SSD,0.25,Intel HD Graphics 620,Intel,HD Graphics 620,Windows,1.91,4.21082993,5859828,71510.76415
25,Dell,Inspiron 3567,Inspiron 3567,Notebook,15.6,1366x768,0,0,1366x768,Intel Core i3 6006U 2GHz,Intel,Core i3 6006U,2,4,1TB HDD,1,Intel HD Graphics 520,Intel,HD Graphics 520,Windows,2.3,5.0706329,3722546.88,45428.3252
26,Apple,MacBook Air,MacBook Air,Ultrabook,13.3,1440x900,0,0,1440x900,Intel Core i5 1.6GHz,Intel,Core i5,1.6,8,128GB Flash Storage,0.125,Intel HD Graphics 6000,Intel,HD Graphics 6000,Mac OS,1.35,2.97624105,9772308,119256.9496
27,Dell,Inspiron 5570,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,0,1,1920x1080,Intel Core i5 8250U 1.6GHz,Intel,Core i5 8250U,1.6,8,256GB SSD,0.25,AMD Radeon 530,AMD,Radeon 530,Windows,2.2,4.8501706,7113600,86811.24631
28,Dell,Latitude 5590,Latitude 5590,Ultrabook,15.6,Full HD 1920x1080,0,1,1920x1080,Intel Core i7 8650U 1.9GHz,Intel,Core i7 8650U,1.9,8,256GB SSD +  256GB SSD,0.5,Intel UHD Graphics 620,Intel,UHD Graphics 620,Windows,1.88,4.14469124,11541816,140851.2471
29,HP,ProBook 470,ProBook 470,Notebook,17.3,Full HD 1920x1080,0,1,1920x1080,Intel Core i5 8250U 1.6GHz,Intel,Core i5 8250U,1.6,8,1TB HDD,1,Nvidia GeForce 930MX,Nvidia,GeForce 930MX,Windows,2.5,5.5115575,7967232,97228.59587
30,Chuwi,"LapBook 15.6""","LapBook 15.6""",Notebook,15.6,Full HD 1920x1080,0,1,1920x1080,Intel Atom x5-Z8300 1.44GHz,Intel,Atom x5-Z8300,1.44,4,64GB Flash Storage,0.0625,Intel HD Graphics,Intel,HD Graphics,Windows,1.89,4.16673747,2178451.08,26584.85904
31,Asus,E402WA-GA010T (E2-6110/2GB/32GB/W10),E402WA-GA010T ,Notebook,14,1366x768,0,0,1366x768,AMD E-Series E2-6110 1.5GHz,AMD,E-Series E2-6110,1.5,2,32GB Flash Storage,0.03125,AMD Radeon R2,AMD,Radeon R2,Windows,1.65,3.63762795,1769508,21594.29752
32,HP,17-ak001nv (A6-9220/4GB/500GB/Radeon,17-ak001nv ,Notebook,17.3,Full HD 1920x1080,0,1,1920x1080,AMD A6-Series 9220 2.5GHz,AMD,A6-Series 9220,2.5,4,500GB HDD,0.48828125,AMD Radeon 530,AMD,Radeon 530,Windows,2.71,5.97452833,3903588,47637.67141
33,Dell,XPS 13,XPS 13,Ultrabook,13.3,Touchscreen / Quad HD+ 3200x1800,1,1,3200x1800,Intel Core i7 8550U 1.8GHz,Intel,Core i7 8550U,1.8,16,512GB SSD,0.5,Intel UHD Graphics 620,Intel,UHD Graphics 620,Windows,1.2,2.6455476,16619148,202812.7742
34,Apple,MacBook Air,MacBook Air,Ultrabook,13.3,1440x900,0,0,1440x900,Intel Core i5 1.6GHz,Intel,Core i5,1.6,8,256GB Flash Storage,0.25,Intel HD Graphics 6000,Intel,HD Graphics 6000,Mac OS,1.35,2.97624105,8874216,108297.0298
35,Lenovo,IdeaPad 120S-14IAP,IdeaPad 120S-14IAP,Notebook,14,1366x768,0,0,1366x768,Intel Celeron Dual Core N3350 1.1GHz,Intel,Celeron Dual Core N3350,1.1,4,64GB Flash Storage,0.0625,Intel HD Graphics 500,Intel,HD Graphics 500,Windows,1.44,3.17465712,2214108,27020.00041
36,Acer,Aspire 3,Aspire 3,Notebook,15.6,1366x768,0,0,1366x768,Intel Core i3 7130U 2.7GHz,Intel,Core i3 7130U,2.7,4,1TB HDD,1,Intel HD Graphics 620,Intel,HD Graphics 620,Linux,2.1,4.6297083,3263364,39824.65925
37,Dell,Inspiron 5770,Inspiron 5770,Notebook,17.3,IPS Panel Full HD 1920x1080,0,1,1920x1080,Intel Core i5 8250U 1.6GHz,Intel,Core i5 8250U,1.6,8,128GB SSD +  1TB HDD,1.125,AMD Radeon 530,AMD,Radeon 530,Windows,2.8,6.1729444,8705268,106235.2627
38,HP,250 G6,250 G6,Notebook,15.6,1366x768,0,0,1366x768,Intel Core i5 7200U 2.5GHz,Intel,Core i5 7200U,2.5,4,1TB HDD,1,Intel HD Graphics 620,Intel,HD Graphics 620,Windows,1.86,4.10059878,4345431.48,53029.73495
39,HP,ProBook 450,ProBook 450,Notebook,15.6,Full HD 1920x1080,0,1,1920x1080,Intel Core i5 8250U 1.6GHz,Intel,Core i5 8250U,1.6,8,256GB SSD,0.25,Nvidia GeForce 930MX ,Nvidia,GeForce 930MX ,Windows,2.1,4.6297083,7816068,95383.85689
40,Asus,X540UA-DM186 (i3-6006U/4GB/1TB/FHD/Linux),X540UA-DM186 ,Notebook,15.6,Full HD 1920x1080,0,1,1920x1080,Intel Core i3 6006U 2GHz,Intel,Core i3 6006U,2,4,1TB HDD,1,Intel HD Graphics 620,Intel,HD Graphics 620,Linux,2,4.409246,3458988,42211.96852
41,Dell,Inspiron 7577,Inspiron 7577,Gaming,15.6,IPS Panel Full HD 1920x1080,0,1,1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,Core i7 7700HQ,2.8,16,256GB SSD +  1TB HDD,1.25,Nvidia GeForce GTX 1060,Nvidia,GeForce GTX 1060,Windows,2.65,5.84225095,13329108,162662.5728
42,Asus,X542UQ-GO005 (i5-7200U/8GB/1TB/GeForce,X542UQ-GO005 ,Notebook,15.6,1366x768,0,0,1366x768,Intel Core i5 7200U 2.5GHz,Intel,Core i5 7200U,2.5,8,1TB HDD,1,Nvidia GeForce 940MX,Nvidia,GeForce 940MX,Linux,2.3,5.0706329,4650427.08,56751.76714
43,Acer,Aspire A515-51G,Aspire A515-51G,Notebook,15.6,IPS Panel Full HD 1920x1080,0,1,1920x1080,Intel Core i5 8250U 1.6GHz,Intel,Core i5 8250U,1.6,4,256GB SSD,0.25,Intel UHD Graphics 620,Intel,UHD Graphics 620,Windows,2.2,4.8501706,6064344,74006.58748
44,Dell,Inspiron 7773,Inspiron 7773,2 in 1 Convertible,17.3,Full HD / Touchscreen 1920x1080,1,1,1920x1080,Intel Core i5 8250U 1.6GHz,Intel,Core i5 8250U,1.6,12,1TB HDD,1,Nvidia GeForce 150MX,Nvidia,GeForce 150MX,Windows,2.77,6.10680571,8883108,108405.5438
45,Apple,MacBook Pro,MacBook Pro,Ultrabook,13.3,IPS Panel Retina Display 2560x1600,0,0,2560x1600,Intel Core i5 2.0GHz,Intel,Core i5,2,8,256GB SSD,0.25,Intel Iris Graphics 540,Intel,Iris Graphics 540,Mac OS,1.37,3.02033351,12617748,153981.4481
46,Lenovo,IdeaPad 320-15ISK,IdeaPad 320-15ISK,Notebook,15.6,1366x768,0,0,1366x768,Intel Core i3 6006U 2GHz,Intel,Core i3 6006U,2,4,128GB SSD,0.125,Intel HD Graphics 520,Intel,HD Graphics 520,No OS,2.2,4.8501706,3281148,40041.68736
47,Asus,Rog Strix,Rog Strix,Gaming,17.3,Full HD 1920x1080,0,1,1920x1080,AMD Ryzen 1700 3GHz,AMD,Ryzen 1700,3,8,256GB SSD +  1TB HDD,1.25,AMD Radeon RX 580,AMD,Radeon RX 580,Windows,3.2,7.0547936,11550708,140959.7612
48,Dell,Inspiron 3567,Inspiron 3567,Notebook,15.6,Full HD 1920x1080,0,1,1920x1080,Intel Core i5 7200U 2.5GHz,Intel,Core i5 7200U,2.5,4,256GB SSD,0.25,AMD Radeon R5 M430,AMD,Radeon R5 M430,Windows,2.3,5.0706329,5681988,69340.48299
49,Asus,X751NV-TY001T (N4200/4GB/1TB/GeForce,X751NV-TY001T ,Notebook,17.3,1366x768,0,0,1366x768,Intel Pentium Quad Core N4200 1.1GHz,Intel,Pentium Quad Core N4200,1.1,4,1TB HDD,1,Nvidia GeForce 920MX,Nvidia,GeForce 920MX,Windows,2.8,6.1729444,4143672,50567.55098
50,Lenovo,Yoga Book,Yoga Book,2 in 1 Convertible,10.1,IPS Panel Touchscreen 1920x1200,1,0,1920x1200,Intel Atom x5-Z8550 1.44GHz,Intel,Atom x5-Z8550,1.44,4,64GB Flash Storage,0.0625,Intel HD Graphics 400,Intel,HD Graphics 400,Android,0.69,1.52118987,2836548,34615.98447
51,Acer,Aspire A515-51G,Aspire A515-51G,Notebook,15.6,IPS Panel Full HD 1920x1080,0,1,1920x1080,Intel Core i7 8550U 1.8GHz,Intel,Core i7 8550U,1.8,8,256GB SSD,0.25,Nvidia GeForce MX150,Nvidia,GeForce MX150,Windows,2.2,4.8501706,7478172,91260.32269
52,HP,255 G6,255 G6,Notebook,15.6,Full HD 1920x1080,0,1,1920x1080,AMD A6-Series 9220 2.5GHz,AMD,A6-Series 9220,2.5,4,256GB SSD,0.25,AMD Radeon R4 Graphics,AMD,Radeon R4 Graphics,Windows,1.86,4.10059878,3543373.08,43241.76693
53,HP,ProBook 430,ProBook 430,Notebook,13.3,Full HD 1920x1080,0,1,1920x1080,Intel Core i7 8550U 1.8GHz,Intel,Core i7 8550U,1.8,8,512GB SSD,0.5,Intel UHD Graphics 620,Intel,UHD Graphics 620,Windows,1.49,3.28488827,9807876,119691.0059
54,Acer,Aspire 3,Aspire 3,Notebook,15.6,1366x768,0,0,1366x768,Intel Core i3 7100U 2.4GHz,Intel,Core i3 7100U,2.4,4,1TB HDD,1,Intel HD Graphics 620,Intel,HD Graphics 620,Windows,2.4,5.2910952,3414528,41669.39823
55,Dell,Inspiron 3576,Inspiron 3576,Notebook,15.6,Full HD 1920x1080,0,1,1920x1080,Intel Core i7 8550U 1.8GHz,Intel,Core i7 8550U,1.8,8,256GB SSD,0.25,AMD Radeon 520,AMD,Radeon 520,Windows,2.13,4.69584699,6827277.6,83317.09365
56,HP,15-bs002nv (i3-6006U/4GB/128GB/FHD/W10),15-bs002nv ,Notebook,15.6,Full HD 1920x1080,0,1,1920x1080,Intel Core i3 6006U 2GHz,Intel,Core i3 6006U,2,4,128GB SSD,0.125,Intel HD Graphics 520,Intel,HD Graphics 520,Windows,1.91,4.21082993,3903588,47637.67141
57,Asus,VivoBook Max,VivoBook Max,Notebook,15.6,1366x768,0,0,1366x768,Intel Core i5 7200U 2.5GHz,Intel,Core i5 7200U,2.5,4,256GB SSD,0.25,Intel HD Graphics 620,Intel,HD Graphics 620,Windows,2,4.409246,5212401.48,63609.8556
58,MSI,GS73VR 7RG,GS73VR 7RG,Gaming,17.3,Full HD 1920x1080,0,1,1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,Core i7 7700HQ,2.8,16,256GB SSD +  2TB HDD,2.25,Nvidia GeForce GTX 1070,Nvidia,GeForce GTX 1070,Windows,2.43,5.35723389,21776508,265750.9278
59,Asus,X541UA-DM1897 (i3-6006U/4GB/256GB/FHD/Linux),X541UA-DM1897 ,Notebook,15.6,Full HD 1920x1080,0,1,1920x1080,Intel Core i3 6006U 2GHz,Intel,Core i3 6006U,2,4,256GB SSD,0.25,Intel HD Graphics 520,Intel,HD Graphics 520,Linux,2,4.409246,3690180,45033.33402
60,Dell,Inspiron 5770,Inspiron 5770,Notebook,17.3,Full HD 1920x1080,0,1,1920x1080,Intel Core i7 8550U 1.8GHz,Intel,Core i7 8550U,1.8,16,256GB SSD +  2TB HDD,2.25,AMD Radeon 530,AMD,Radeon 530,Windows,2.8,6.1729444,11550708,140959.7612
61,Dell,Vostro 5471,Vostro 5471,Ultrabook,14,Full HD 1920x1080,0,1,1920x1080,Intel Core i5 8250U 1.6GHz,Intel,Core i5 8250U,1.6,8,256GB SSD,0.25,Intel UHD Graphics 620,Intel,UHD Graphics 620,Windows,1.7,3.7478591,7816068,95383.85689
62,Lenovo,IdeaPad 520S-14IKB,IdeaPad 520S-14IKB,Notebook,14,IPS Panel Full HD 1920x1080,0,1,1920x1080,Intel Core i3 7130U 2.7GHz,Intel,Core i3 7130U,2.7,8,256GB SSD,0.25,Intel HD Graphics 620,Intel,HD Graphics 620,No OS,1.7,3.7478591,5326308,64999.92068
63,Asus,UX410UA-GV350T (i5-8250U/8GB/256GB/FHD/W10),UX410UA-GV350T ,Notebook,14,Full HD 1920x1080,0,1,1920x1080,Intel Core i5 8250U 1.6GHz,Intel,Core i5 8250U,1.6,8,256GB SSD,0.25,Intel UHD Graphics 620,Intel,UHD Graphics 620,Windows,1.4,3.0864722,8367372,102111.7285
64,HP,250 G6,250 G6,Notebook,15.6,Full HD 1920x1080,0,1,1920x1080,Intel Core i5 7200U 2.5GHz,Intel,Core i5 7200U,2.5,8,256GB SSD,0.25,Intel HD Graphics 620,Intel,HD Graphics 620,Windows,1.86,4.10059878,6135480,74874.69994
65,Asus,ZenBook Pro,ZenBook Pro,Ultrabook,15.6,Full HD 1920x1080,0,1,1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,Core i7 7700HQ,2.8,16,512GB SSD,0.5,Nvidia GeForce GTX 1050 Ti,Nvidia,GeForce GTX 1050 Ti,Windows,1.8,3.9683214,17632836,215183.3768
66,HP,250 G6,250 G6,Notebook,15.6,1366x768,0,0,1366x768,Intel Core i3 6006U 2GHz,Intel,Core i3 6006U,2,4,500GB HDD,0.48828125,AMD Radeon 520,AMD,Radeon 520,Windows,1.86,4.10059878,3900831.48,47604.03206
67,HP,Stream 14-AX040wm,Stream 14-AX040wm,Notebook,14,1366x768,0,0,1366x768,Intel Celeron Dual Core N3060 1.6GHz,Intel,Celeron Dual Core N3060,1.6,4,32GB SSD,0.03125,Intel HD Graphics 400,Intel,HD Graphics 400,Windows,1.44,3.17465712,2036268,24849.71926
68,Lenovo,V310-15ISK (i5-7200U/4GB/1TB/FHD/W10),V310-15ISK ,Notebook,15.6,Full HD 1920x1080,0,1,1920x1080,Intel Core i5 7200U 2.5GHz,Intel,Core i5 7200U,2.5,4,1TB HDD,1,Intel HD Graphics 620,Intel,HD Graphics 620,Windows,1.9,4.1887837,4881708,59574.21778
69,Asus,FX753VE-GC093 (i7-7700HQ/12GB/1TB/GeForce,FX753VE-GC093 ,Gaming,17.3,Full HD 1920x1080,0,1,1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,Core i7 7700HQ,2.8,12,1TB HDD,1,Nvidia GeForce GTX 1050 Ti,Nvidia,GeForce GTX 1050 Ti,Linux,3,6.613869,8438508,102979.8409
70,Microsoft,Surface Laptop,Surface Laptop,Ultrabook,13.5,Touchscreen 2256x1504,1,0,2256x1504,Intel Core i5 7200U 2.5GHz,Intel,Core i5 7200U,2.5,4,128GB SSD,0.125,Intel HD Graphics 620,Intel,HD Graphics 620,Windows,1.252,2.760187996,9683388,118171.809
71,Dell,Inspiron 5370,Inspiron 5370,Ultrabook,13.3,IPS Panel Full HD 1920x1080,0,1,1920x1080,Intel Core i7 8550U 1.8GHz,Intel,Core i7 8550U,1.8,8,256GB SSD,0.25,AMD Radeon 530,AMD,Radeon 530,Windows,1.4,3.0864722,8491860,103630.9253
72,Dell,Inspiron 5570,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,0,1,1920x1080,Intel Core i7 8550U 1.8GHz,Intel,Core i7 8550U,1.8,8,256GB SSD,0.25,AMD Radeon 530,AMD,Radeon 530,Windows,2.2,4.8501706,7736040,94407.23037
73,MSI,GL72M 7RDX,GL72M 7RDX,Gaming,17.3,Full HD 1920x1080,0,1,1920x1080,Intel Core i5 7300HQ 2.5GHz,Intel,Core i5 7300HQ,2.5,8,128GB SSD +  1TB HDD,1.125,Nvidia GeForce GTX 1050,Nvidia,GeForce GTX 1050,Windows,2.7,5.9524821,9736740,118822.8934
74,Acer,Aspire E5-475,Aspire E5-475,Notebook,14,1366x768,0,0,1366x768,Intel Core i3 6006U 2GHz,Intel,Core i3 6006U,2,8,1TB HDD,1,Intel HD Graphics 520,Intel,HD Graphics 520,Windows,2.1,4.6297083,3458988,42211.96852
75,Asus,FX503VD-E4022T (i7-7700HQ/8GB/1TB/GeForce,FX503VD-E4022T ,Gaming,15.6,Full HD 1920x1080,0,1,1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,Core i7 7700HQ,2.8,8,1TB HDD,1,Nvidia GeForce GTX 1050,Nvidia,GeForce GTX 1050,Windows,2.2,4.8501706,8438508,102979.8409
76,Lenovo,IdeaPad 320-15IKBN,IdeaPad 320-15IKBN,Notebook,15.6,Full HD 1920x1080,0,1,1920x1080,Intel Core i5 7200U 2.5GHz,Intel,Core i5 7200U,2.5,8,2TB HDD,2,Intel HD Graphics 620,Intel,HD Graphics 620,No OS,2.2,4.8501706,4614948,56318.79605
77,Dell,Inspiron 5570,Inspiron 5570,Notebook,15.6,Full HD 1920x1080,0,1,1920x1080,Intel Core i7 8550U 1.8GHz,Intel,Core i7 8550U,1.8,8,128GB SSD +  1TB HDD,1.125,Intel UHD Graphics 620,Intel,UHD Graphics 620,Windows,2.02,4.45333846,7602660,92779.5195
78,Acer,Aspire A515-51G-32MX,Aspire A515-51G-32MX,Notebook,15.6,Full HD 1920x1080,0,1,1920x1080,Intel Core i3 7130U 2.7GHz,Intel,Core i3 7130U,2.7,4,1TB HDD,1,Nvidia GeForce MX130,Nvidia,GeForce MX130,Windows,2.2,4.8501706,4712760,57512.45068
79,HP,ProBook 470,ProBook 470,Notebook,17.3,Full HD 1920x1080,0,1,1920x1080,Intel Core i5 8250U 1.6GHz,Intel,Core i5 8250U,1.6,8,128GB SSD +  1TB HDD,1.125,Nvidia GeForce 930MX,Nvidia,GeForce 930MX,Windows,2.5,5.5115575,8687484,106018.2346
80,Dell,Latitude 5590,Latitude 5590,Ultrabook,15.6,IPS Panel Full HD 1920x1080,0,1,1920x1080,Intel Core i5 8250U 1.6GHz,Intel,Core i5 8250U,1.6,8,256GB SSD,0.25,Intel UHD Graphics 620,Intel,UHD Graphics 620,Windows,1.88,4.14469124,9747054.72,118948.7697
81,Apple,"MacBook 12""","MacBook 12""",Ultrabook,12,IPS Panel Retina Display 2304x1440,0,0,2304x1440,Intel Core i5 1.3GHz,Intel,Core i5,1.3,8,512GB SSD,0.5,Intel HD Graphics 615,Intel,HD Graphics 615,Mac OS,0.92,2.02825316,13426920,163856.2274
82,HP,ProBook 440,ProBook 440,Notebook,14,Full HD 1920x1080,0,1,1920x1080,Intel Core i5 8250U 1.6GHz,Intel,Core i5 8250U,1.6,8,256GB SSD,0.25,Intel HD Graphics 620,Intel,HD Graphics 620,Windows,1.63,3.59353549,7647120,93322.08979
83,Lenovo,IdeaPad 320-15AST,IdeaPad 320-15AST,Notebook,15.6,Full HD 1920x1080,0,1,1920x1080,AMD A6-Series 9220 2.5GHz,AMD,A6-Series 9220,2.5,4,128GB SSD,0.125,AMD R4 Graphics,AMD,R4 Graphics,Windows,2.2,4.8501706,3547908,43297.1091
84,Acer,Aspire 3,Aspire 3,Notebook,15.6,1366x768,0,0,1366x768,AMD A9-Series 9420 3GHz,AMD,A9-Series 9420,3,4,1TB HDD,1,AMD Radeon R5,AMD,Radeon R5,Windows,2.1,4.6297083,3512340,42863.05287
85,Dell,Inspiron 7577,Inspiron 7577,Gaming,15.6,IPS Panel Full HD 1920x1080,0,1,1920x1080,Intel Core i7 7700HQ 2.8GHz,Intel,Core i7 7700HQ,2.8,16,128GB SSD +  1TB HDD,1.125,Nvidia GeForce GTX 1050 Ti,Nvidia,GeForce GTX 1050 Ti,Windows,2.65,5.84225095,11995308,146385.4641
